"5/9/19 0:17","","TRAFFIC STOP","TRAFFIC STOP","2500 DURANT","","CLOSED BY CITATION"
"5/9/19 0:29","","TRAFFIC STOP","TRAFFIC STOP","DURANT/BOW","","CLOSED BY CITATION"
"5/9/19 2:24","19-01251","ALL OTHER OFFENSES","WARRANT ARREST","PEOPLES PARK","RANGEL, LUCAS (MW-30-O) ARRESTED FOR A CDCR FELONY WARRANT, PEOPLES PARK. TOT JGP FOR PSYCHIATRIC EVALUATION WITH A CRIMINAL HOLD.","CLOSED BY ARREST"
"5/9/19 2:31","","PEDESTRIAN STOP","SUSPECT STOP","MLK","","FIELD IDENTIFICATION CARD"
"5/9/19 2:49","19-01252","DISORDERLY CONDUCT","DRUNK IN PUBLIC","SATHER LANE/BANCROFT","RUIZ, JOEL (MH-33-O) ARRESTED FOR PUBLIC INTOXICATION, SATHER LANE. TOT BPD JAIL TO BE RELEASED ONCE SOBER","CLOSED BY ARREST"
"5/9/19 3:50","","ALL OTHER OFFENSES","TRESPASS - FAIL TO LEAVE","HAAS BUSINESS SCHOOL","","CLOSED"
"5/9/19 4:33","","MISC. SERVICE","SECURITY SURVEY","RICHMOND FIELD STATION","","CLOSED"
"5/9/19 6:57","","MISC. SERVICE","CAMPSITE INVESTIGATION","MEMORIAL GLADE","","FIELD IDENTIFICATION CARD"
"5/9/19 8:51","19-01253","MISC. SERVICE","CIVIL ADVICE","UNIT-1 PUTNAM","OCCURRED: 05/7/19 - 05/9/19 (MZ-18-S) GIVEN CIVIL ADVICE REGARDING INTERNET SCAM, UNIT 1-PUTNAM HALL.","UNDER INVESTIGATION"
"5/9/19 9:59","","ALL OTHER OFFENSES","DISTURBING THE PEACE","LOWER SPROUL PLAZA","","CLOSED"
"5/9/19 10:19","19-01254","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","BANCROFT TELEGRAPH","OCCURRED: 15/09/19 1023 HOURS OUTSIDE ASSIST TO BPD WITH ARREST AND TRANSPORT, BANCROFT/TELEGRAPH. TO BPD JAIL.","CLOSED BY ARREST"
"5/9/19 11:03","","WELFARE CHECK","CHECK WELFARE- 911 CALL","STEPHENS HALL","","CLOSED"
"5/9/19 11:26","19-01255","MEDICAL EVENT","INJURY OR ILLNESS","VALLEY LIFE SCIENCE BLDG","OCCURRED: 05/09/19 1126 HOURS (FO-31-S) VICTIM OF ILLNESS, VLSB. BFD RESPONDED AND TRANSPORTED TO ABH.","CLOSED"
"5/9/19 11:35","","OUTSIDE ASSIST","OUTSIDE ASSIST -BOMB UNIT","800 BUCHANAN","","CLOSED"
"5/9/19 12:55","19-01257","LARCENY/THEFT","GRAND THEFT -REPORT","ASUC","(FA-21-S) REPORTS THE THEFT OF HER SILVER APPLE MACBOOK PRO, MLK. LOSS OF $1000.00. PROPERTY RECOVERED. SUSPECTS: #1: MB, HIGH SCHOOL AGE, WHITE SWEATSHIRT, BLUE JEANS.  #2: MB, RED SWEATSHIRT, BLACK JEANS.  #3: MW, TEEN, RED HOODY SWEATSHIRT","UNDER INVESTIGATION"
"5/9/19 12:58","19-01256","ALL OTHER OFFENSES","DISTURBING THE PEACE","HAAS BUSINESS SCHOOL","OCCURRED: 05/09/19 1258 HOURS (MH-35-O) EXCLUDED FROM CAMPUS FOR 7 DAYS, HBS","UNDER INVESTIGATION"
"5/9/19 14:38","19-01258","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","2120 OXFORD","OCCURRED: 05/09/19 1430 HOURS OUTSIDE ASSIST TO BPD WITH TRAFFIC COLLISION, IFO 2120 OXFORD.","UNDER INVESTIGATION"
"5/9/19 16:48","","MISSING PERSON","MISSING JUVENILE","2515 CHANNING WAY","","CLOSED"
"5/9/19 17:07","","ALL OTHER OFFENSES","DISTURBING THE PEACE","UPPER SPROUL PLAZA","","CLOSED"
"5/9/19 17:26","","ALL OTHER OFFENSES","DISTURBING THE PEACE","DOE LIBRARY","","CLOSED"
"5/9/19 18:35","19-01260","WELFARE CHECK","WELFARE CHECK","UNIT-3 IDA SPROUL","(FA-18-S) CONDUCTED WELFARE CHECK, UNIT-3 IDA SPROUL. PROVES OK","UNDER INVESTIGATION"
"5/9/19 19:02","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","STRUCTURE B","","CLOSED"
"5/9/19 19:35","19-01259","OTHER ASSAULTS","BATTERY","LOWER SPROUL PLAZA","(MW-37-O) VICTIM FELONY BATTERY, LOWER SPROUL PLAZA. BFD RESPONDED AND TRANSPORTED TO HIGHLANDS.","CLOSED BY ARREST"
"5/9/19 20:06","19-01261","LARCENY/THEFT","PETTY THEFT -REPORT","580 OHLONE AVE","OCC 05/09/2019 1131-1800 (MX-35-O) REPORTS THEFT OF PACKAGE, 580 OHLONE AVE. LOSS OF $695.50","UNDER INVESTIGATION"
"5/9/19 21:09","","MISC. SERVICE","MISC SERVICE MOTORIST","BOWDITCH/BANCROFT","","CLOSED"
"5/9/19 21:59","","DISORDERLY CONDUCT","LODGING","ESHLEMAN HALL","","FIELD IDENTIFICATION CARD"
"5/9/19 22:37","","PEDESTRIAN STOP","SUSPECT STOP","MLK","","CLOSED"
"5/9/19 22:51","","PEDESTRIAN STOP","SUSPECT STOP","MLK","","CLOSED"
